temperature_c,vibration,humidite_pct,pression_bar,heures_utilisation_jour,nb_alertes_7j,derniere_maintenance_jours,nb_interventions_12m,consommation_kwh_j,indice_usure,site,equipement_type,panne_30j,outlier_flag
68.1,6.45,27.36,9.04,11.73,9.0,58.0,9.0,414.931117,57.77,A,compresseur,0,False
82.25,13.28,64.98,3.8,15.37,9.0,84.0,13.0,798.931147,2.25,B,convoyeur,1,False
64.25,12.71,14.51,3.69,2.47,16.0,170.0,14.0,360.567122,83.51,B,convoyeur,0,False
39.39,16.6,45.72,3.37,7.3,16.0,21.0,13.0,289.475573,623.7,C,convoyeur,1,True
54.74,3.3,18.04,9.05,4.23,23.0,129.0,9.0,493.90651,64.64,A,compresseur,0,False
40.45,15.63,57.33,8.46,0.51,23.0,236.0,0.0,765.275757,47.02,B,pompe,0,False
89.89,12.13,33.58,6.01,15.08,2.0,242.0,7.0,379.7055,23.39,A,pompe,0,False
63.85,7.25,62.15,2.96,14.25,5.0,167.0,15.0,901.359706,30.62,A,compresseur,0,False
73.59,9.01,24.23,1.66,5.21,5.0,548.0,17.0,223.837996,0.77,C,convoyeur,0,False
58.73,5.1,47.27,1.67,20.88,2.0,2282.57,9.0,685.620194,31.91,B,convoyeur,0,True
61.86,8.97,44.05,7.47,3.08,18.0,387.0,18.0,0.0,51.8,A,convoyeur,0,False
36.52,12.09,38.97,4.36,12.2,6.0,347.0,5.0,65.100172,70.35,A,pompe,1,False
75.12,1.85,66.62,8.05,21.91,20.0,148.0,7.0,246.422551,84.3,A,pompe,0,False
53.01,4.44,84.32,3.3,3.38,24.0,302.0,16.0,489.653233,53.83,A,compresseur,0,False
61.71,8.1,87.06,4.68,10.91,10.0,389.0,11.0,600.110576,82.05,B,convoyeur,0,False
89.18,8.62,41.83,1.36,0.57,8.0,74.0,16.0,293.750255,60.12,C,pompe,0,False
60.3,3.52,88.14,2.77,10.17,15.0,129.0,18.0,266.603771,13.13,B,pompe,0,False
90.22,10.58,28.02,4.88,10.97,18.0,558.0,18.0,502.806136,79.14,C,convoyeur,0,False
65.08,18.33,35.41,6.84,14.65,13.0,267.0,7.0,408.508933,87.28,B,pompe,0,False
46.33,3.42,44.46,9.12,17.61,8.0,85.0,14.0,620.043905,86.67,C,pompe,0,False
71.69,3.56,25.38,2.86,6.14,5.0,210.0,3.0,369.09867,56.66,C,pompe,0,False
77.4,12.92,66.73,3.86,4.43,24.0,113.0,11.0,327.296928,21.81,B,convoyeur,1,False
70.64,18.15,60.59,5.395,6.47,3.0,97.0,18.0,827.047007,27.75,A,compresseur,1,False
56.96,5.14,68.2,9.06,2.7,22.0,170.0,14.0,244.975755,66.08,C,pompe,0,False
80.68,17.65,11.12,6.51,11.15,13.0,730.0,16.0,556.690781,93.74,A,convoyeur,0,False
89.32,14.28,85.07,6.88,7.13,11.0,634.0,7.0,264.84925,87.42,C,pompe,0,False
76.4,7.85,36.2,1.58,2.71,24.0,268.0,9.0,6.044197,12.51,A,convoyeur,0,False
66.4,18.44,39.15,7.6,14.29,24.0,584.0,11.0,543.864283,90.0,B,compresseur,0,False
58.77,12.02,80.93,5.94,5.51,11.0,236.0,3.0,593.102766,55.86,A,pompe,0,False
41.02,16.66,73.44,3.75,11.46,11.0,710.0,18.0,361.858076,57.26,B,pompe,0,False
73.41,3.29,50.43,5.95,8.2,19.0,120.0,15.0,72.561236,38.84,A,convoyeur,0,False
80.5,9.77,72.69,7.24,14.16,16.0,151.0,18.0,428.798732,14.1,A,pompe,1,False
70.07,8.3,12.09,7.84,7.27,15.0,453.0,12.0,85.764085,96.05,B,convoyeur,0,False
92.81,12.13,13.84,5.08,19.19,22.0,284.0,17.0,589.740627,14.5,B,compresseur,0,False
44.77,12.99,64.51,7.4,5.82,1.0,223.0,3.0,267.279397,43.62,B,convoyeur,0,False
66.37,5.75,50.73,4.43,13.24,14.0,325.0,13.0,212.42075,81.2,A,pompe,0,False
38.02,12.17,47.02,7.8,2.5,23.0,496.0,15.0,319.541051,70.18,A,pompe,0,False
75.27,11.57,68.97,8.95,18.1,22.0,543.0,0.0,513.708218,13.78,B,convoyeur,0,False
88.8,16.54,84.57,9.12,19.8,24.0,507.0,9.0,499.99706,29.51,B,convoyeur,1,False
79.59,9.64,52.04,5.08,7.73,14.0,13.0,9.0,628.975076,63.63,A,pompe,0,False
86.17,4.86,77.67,7.39,8.21,4.0,361.0,4.0,775.196483,2.93,B,pompe,0,False
44.04,4.37,11.44,2.41,17.12,17.0,707.0,16.0,142.141542,86.69,B,convoyeur,0,False
84.63,7.94,13.51,4.59,21.07,15.0,338.0,17.0,858.097145,24.3,B,compresseur,0,False
87.46,10.84,54.3,8.65,12.25,10.0,562.0,2.0,507.247034,68.16,C,compresseur,0,False
57.04,10.88,68.47,3.99,12.96,14.0,16.0,13.0,825.547329,65.46,C,compresseur,0,False
47.15,17.21,50.4,1.24,2.44,7.0,186.0,12.0,767.438812,24.05,A,convoyeur,0,False
53.41,14.74,32.19,5.96,4.75,20.0,565.0,16.0,626.201109,38.86,C,convoyeur,0,False
43.46,15.74,82.26,6.14,4.57,11.0,147.0,13.0,446.69948,78.88,A,pompe,1,False
73.1,7.59,17.7,5.03,16.41,2.0,444.0,1.0,0.0,16.86,B,convoyeur,0,False
52.57,12.39,15.16,7.98,9.01,11.0,431.0,7.0,126.070581,27.08,B,pompe,0,False
84.45,11.38,59.94,7.14,11.91,5.0,357.0,17.0,105.076329,76.42,C,compresseur,0,False
62.7,4.97,42.6,5.77,10.01,3.0,6.0,13.0,728.489965,27.52,A,pompe,0,False
55.79,5.59,88.45,6.59,20.15,6.0,480.0,6.0,194.108233,73.47,C,pompe,0,False
57.84,18.38,11.06,5.92,16.92,23.0,448.0,8.0,90.16025,14.83,C,compresseur,1,False
69.9,1.26,42.67,1.48,16.31,17.0,513.0,18.0,128.037711,87.0,C,pompe,0,False
69.81,11.34,36.34,2.88,12.43,5.0,75.0,13.0,292.19657,50.04,B,convoyeur,0,False
41.93,17.86,77.27,7.01,2.87,11.0,196.0,17.0,441.340953,98.28,C,compresseur,1,False
90.58,8.54,68.55,2.69,21.73,4.0,193.0,15.0,628.625494,21.64,A,compresseur,0,False
90.28,10.23,91.5,3.51,13.78,14.0,665.0,17.0,607.327125,65.03,B,convoyeur,0,False
89.27,2.26,54.87,3.14,15.42,15.0,616.0,15.0,534.49913,37.06,C,convoyeur,0,False
50.4,5.2,51.91,3.37,15.1,21.0,417.0,10.0,827.743269,45.88,B,compresseur,0,False
60.29,4.11,90.89,9.43,10.0,19.0,648.0,13.0,97.324225,87.8,A,convoyeur,0,False
91.5,13.26,55.4,4.42,17.47,3.0,670.0,16.0,189.010083,26.33,C,pompe,1,False
75.49,5.74,16.31,2.49,3.91,19.0,612.0,10.0,493.272016,75.69,B,pompe,0,False
87.0,16.88,52.53,1.52,16.94,22.0,317.0,0.0,24.013832,92.91,C,convoyeur,0,False
69.64,5.17,54.63,2.58,12.31,14.0,346.0,7.0,192.390651,59.37,A,pompe,0,False
83.19,10.09,22.34,7.76,14.93,11.0,470.0,7.0,557.345465,99.48,C,compresseur,0,False
91.47,0.3,39.42,5.89,1.48,20.0,401.0,18.0,419.267299,2.64,A,pompe,0,False
70.45,16.91,77.28,9.45,1.31,3.0,355.0,2.0,35.380255,77.97,A,convoyeur,1,False
48.34,3.36,14.1,3.62,8.52,21.0,650.0,14.0,359.954364,89.58,C,convoyeur,0,False
56.46,4.56,29.26,7.39,4.88,10.0,511.0,2.0,581.218567,18.1,B,convoyeur,0,False
66.45,8.14,38.64,4.01,17.36,17.0,683.0,4.0,299.054629,41.1,C,convoyeur,0,False
79.65,16.6,13.99,5.07,18.34,24.0,31.0,8.0,160.364827,35.67,A,pompe,0,False
80.64,8.68,12.83,1.99,8.9,11.0,91.0,9.0,461.922696,2.85,B,compresseur,0,False
40.45,17.52,25.83,6.93,20.64,10.0,84.0,15.0,84.132454,31.96,C,convoyeur,0,False
60.35,11.18,23.07,1.99,3.36,7.0,209.0,0.0,419.485265,94.73,A,convoyeur,1,False
84.49,4.9,24.24,7.49,16.34,7.0,182.0,13.0,682.351976,80.04,A,pompe,0,False
87.04,15.29,71.87,2.1,2.02,10.0,33.0,13.0,491.487159,63.57,C,compresseur,1,False
43.58,13.03,79.39,6.14,4.22,13.0,177.0,18.0,718.384315,92.53,A,convoyeur,0,False
90.73,5.46,88.77,6.92,1.7,10.0,336.0,7.0,456.743138,87.17,B,compresseur,0,False
36.91,7.77,37.65,8.08,12.0,4.0,100.0,4.0,278.12663,81.38,C,compresseur,0,False
60.12,1.9,81.77,6.4,7.16,13.0,557.0,12.0,803.247008,7.26,B,compresseur,0,False
67.66,9.79,83.04,6.39,10.09,22.0,130.0,16.0,157.622848,31.6,B,pompe,0,False
50.22,18.33,28.73,3.07,21.58,13.0,35.0,17.0,462.64921,12.6,A,pompe,1,False
85.85,11.07,54.67,7.45,10.74,10.0,186.0,0.0,0.0,85.15,B,compresseur,0,False
70.95,13.88,20.28,3.76,11.43,2.0,313.0,18.0,753.317648,38.64,C,pompe,0,False
91.75,13.9,26.0,8.12,13.22,11.0,378.0,8.0,521.122759,30.8,B,pompe,1,False
68.93,16.19,88.22,6.02,9.79,6.0,566.0,11.0,488.238552,93.34,A,pompe,1,False
80.52,18.44,42.99,8.49,5.51,23.0,339.0,3.0,690.937844,42.68,B,convoyeur,1,False
92.19,6.47,57.55,6.01,21.38,8.0,49.0,2.0,405.586515,55.56,C,convoyeur,1,False
48.58,1.8,67.75,5.24,13.59,25.0,176.0,5.0,154.642931,82.41,C,compresseur,0,False
239.23,14.49,41.78,7.9,11.34,14.0,183.0,12.0,798.800126,78.53,B,pompe,1,True
36.23,14.72,34.38,4.25,15.11,7.0,560.0,3.0,457.117303,7.1,C,pompe,0,False
92.53,16.69,70.91,4.47,14.08,23.0,252.0,9.0,205.836027,25.93,C,pompe,1,False
39.32,1.07,32.26,8.85,19.13,5.0,156.0,7.0,564.030244,14.91,B,convoyeur,0,False
91.95,6.9,29.55,4.34,5.28,18.0,119.0,18.0,466.251846,35.04,B,pompe,0,False
75.5,12.18,12.52,3.56,4.62,9.0,81.0,16.0,1352.253172,99.61,B,compresseur,0,True
71.84,6.61,74.51,8.7,11.63,14.0,547.0,9.0,34.363239,77.44,A,pompe,0,False
75.0,15.18,87.89,7.5,16.06,18.0,649.0,5.0,748.730039,17.56,C,pompe,0,False
52.15,11.41,22.46,1.7,11.42,4.0,609.0,0.0,345.738461,31.1,B,convoyeur,0,False
62.79,16.18,85.89,9.17,17.82,18.0,81.0,4.0,524.569658,74.55,C,compresseur,0,False
76.18,7.31,23.06,2.99,11.75,24.0,61.0,13.0,295.902285,11.46,A,compresseur,0,False
42.38,4.63,71.14,0.86,20.45,16.0,371.0,9.0,454.456604,7.41,A,pompe,1,False
45.88,12.1,38.55,3.93,1.94,15.0,316.0,18.0,515.300256,9.09,C,convoyeur,0,False
66.41,11.1,49.22,7.57,5.94,13.0,728.0,16.0,282.7983,25.59,B,convoyeur,0,False
48.31,1.5,64.1,7.33,7.0,17.0,390.0,14.0,412.470731,52.16,C,pompe,0,False
66.19,1.85,23.56,8.67,20.17,14.0,673.0,12.0,599.116909,50.58,C,compresseur,0,False
77.59,4.48,47.27,1.88,3.46,3.0,109.0,1.0,251.239437,9.41,C,convoyeur,0,False
77.9,12.32,15.38,5.64,9.33,13.0,694.0,6.0,420.043359,13.9,C,convoyeur,0,False
53.0,7.57,33.7,2.15,11.09,3.0,590.0,17.0,395.321673,16.26,A,pompe,0,False
66.85,15.21,48.04,3.88,2.72,23.0,445.0,12.0,211.488454,3.08,A,convoyeur,0,False
73.09,7.63,58.42,6.4,5.03,24.0,184.0,11.0,720.525127,89.62,B,convoyeur,0,False
41.53,10.59,85.68,4.99,14.97,17.0,560.0,2.0,271.12633,13.37,C,pompe,0,False
43.07,8.14,86.29,3.23,8.92,12.0,499.0,13.0,327.698388,40.59,B,compresseur,1,False
74.31,4.27,27.08,8.74,2.73,2.0,455.0,11.0,132.219064,13.55,B,convoyeur,0,False
59.73,13.21,43.15,3.16,7.78,18.0,134.0,15.0,238.063481,4.28,A,convoyeur,0,False
80.11,9.8,73.89,5.56,16.59,4.0,46.0,5.0,371.399746,9.54,A,convoyeur,0,False
66.85,16.97,55.07,4.93,19.33,0.0,699.0,3.0,108.619685,35.48,A,compresseur,0,False
42.41,9.89,76.34,7.91,16.39,5.0,691.0,13.0,508.112392,77.2,A,convoyeur,0,False
42.08,14.94,14.36,2.23,16.58,19.0,121.0,16.0,411.192414,69.15,B,convoyeur,0,False
65.49,0.35,70.79,1.35,21.04,3.0,180.0,15.0,813.397678,53.2,B,pompe,0,False
60.61,10.84,34.11,0.93,8.1,22.0,257.0,15.0,431.031997,15.59,C,convoyeur,0,False
47.79,12.21,19.41,6.68,15.13,25.0,600.0,18.0,564.83918,75.21,B,compresseur,0,False
93.25,9.98,67.34,6.37,11.27,17.0,352.0,1.0,802.401356,34.84,C,compresseur,1,False
67.48,2.01,21.32,3.69,0.93,7.0,31.0,3.0,191.731631,93.66,C,pompe,0,False
68.93,14.43,82.57,9.25,2.32,1.0,93.0,12.0,777.695855,96.77,A,compresseur,1,False
47.33,14.21,16.7,0.9,12.66,3.0,98.0,10.0,678.046475,68.3,A,convoyeur,1,False
80.55,3.53,63.43,9.16,14.01,25.0,730.0,12.0,483.991597,75.69,C,convoyeur,0,False
64.09,4.51,34.14,9.09,3.48,10.0,431.0,2.0,595.24926,57.52,A,pompe,0,False
66.85,9.52,74.37,8.54,9.66,5.0,263.0,13.0,712.402039,74.45,A,convoyeur,0,False
40.23,11.08,48.95,4.52,7.47,10.0,559.0,8.0,611.157651,11.41,A,convoyeur,0,False
35.68,17.23,48.09,1.15,2.3,9.0,551.0,12.0,814.404502,45.41,B,convoyeur,1,False
68.86,6.99,47.99,4.93,7.98,16.0,559.0,16.0,87.195364,46.0,C,convoyeur,0,False
68.82,16.86,10.92,8.68,15.95,12.0,158.0,9.0,329.12301,72.93,B,pompe,1,False
58.02,0.85,48.56,7.38,21.54,1.0,285.0,9.0,54.952638,54.09,C,compresseur,0,False
40.99,4.59,81.62,2.41,0.93,23.0,392.0,5.0,683.690074,18.68,B,convoyeur,0,False
94.1,7.64,31.15,3.49,11.57,0.0,352.0,17.0,453.144019,66.67,B,pompe,0,False
47.16,9.43,19.7,4.09,20.49,1.0,664.0,8.0,0.0,46.8,B,convoyeur,0,False
66.32,7.45,80.18,6.49,13.21,0.0,513.0,0.0,561.4306,30.19,C,compresseur,0,False
67.42,3.5,40.54,5.85,5.24,16.0,349.0,8.0,223.244474,98.14,C,compresseur,0,False
40.8,16.86,18.8,1.69,1.12,20.0,347.0,11.0,389.335817,42.01,B,pompe,0,False
35.37,10.25,43.66,3.03,12.92,14.0,670.0,3.0,534.577972,82.49,C,compresseur,1,False
38.85,9.9,62.85,9.12,2.48,16.0,26.0,6.0,776.900545,32.65,A,convoyeur,0,False
90.15,18.3,78.9,9.14,13.43,16.0,130.0,3.0,689.754225,85.09,A,pompe,1,False
56.49,17.4,12.02,7.65,18.61,25.0,131.0,13.0,576.997585,99.68,B,convoyeur,0,False
85.97,3.06,13.2,5.395,5.29,4.0,314.0,5.0,355.128591,37.58,C,pompe,0,False
60.62,3.81,23.71,2.47,8.3,9.0,612.0,13.0,598.817054,80.13,B,pompe,0,False
45.13,17.2,77.5,2.7,6.85,9.0,729.0,10.0,629.093701,33.81,C,compresseur,0,False
68.69,2.71,54.6,3.14,19.8,25.0,677.0,14.0,145.796731,44.46,A,pompe,0,False
46.36,7.98,50.4,3.57,11.81,10.0,648.0,9.0,523.609023,2.68,A,compresseur,0,False
41.22,1.7,27.63,9.35,19.29,24.0,713.0,14.0,11.631025,89.42,C,compresseur,0,False
43.27,6.82,73.03,5.67,14.93,5.0,351.0,14.0,323.934479,14.95,C,compresseur,0,False
51.01,3.74,50.1,5.31,1.78,3.0,434.0,1.0,625.479052,5.63,A,convoyeur,0,False
55.34,7.63,38.44,7.64,11.69,10.0,535.0,3.0,647.487643,97.84,B,pompe,0,False
74.99,17.6,20.09,5.51,10.32,14.0,218.0,13.0,526.68384,34.67,B,pompe,1,False
92.42,4.45,32.3,6.96,3.83,24.0,75.0,17.0,1041.260831,30.73,C,convoyeur,0,False
78.28,16.4,39.41,1.78,9.49,12.0,720.0,4.0,254.075548,75.05,C,convoyeur,0,False
43.81,15.49,49.41,6.25,17.09,9.0,289.0,15.0,91.418936,11.06,B,pompe,0,False
35.3,5.25,38.57,6.12,10.2,6.0,96.0,4.0,117.398784,98.81,B,pompe,1,False
72.02,15.87,28.59,8.01,17.35,8.0,446.0,15.0,680.072787,66.7,A,convoyeur,1,False
72.3,13.73,41.97,7.03,18.17,18.0,730.0,14.0,764.809848,25.14,C,compresseur,0,False
37.51,1.21,58.7,8.06,0.95,25.0,198.0,4.0,257.873833,86.18,C,compresseur,0,False
50.32,4.9,75.72,1.65,16.1,13.0,652.0,4.0,100.295471,82.29,B,convoyeur,0,False
71.72,10.51,57.88,7.75,15.09,2.0,389.0,0.0,3.486658,65.61,B,convoyeur,0,False
90.1,7.68,32.06,6.16,4.26,9.0,57.0,5.0,81.352896,92.59,B,compresseur,1,False
52.52,16.83,32.74,7.91,5.16,17.0,45.0,6.0,563.366901,90.34,C,pompe,0,False
75.59,11.48,65.43,9.34,14.17,17.0,186.0,13.0,83.377967,5.43,B,pompe,1,False
45.11,5.18,14.6,1.78,10.34,11.0,60.0,12.0,801.956889,44.46,B,pompe,0,False
80.27,12.0,31.2,5.52,10.49,15.0,382.0,18.0,0.0,34.63,A,pompe,0,False
74.0,16.63,82.91,4.44,21.62,0.0,186.0,14.0,21.329373,26.45,C,pompe,1,False
47.35,12.8,62.18,8.2,21.37,23.0,649.0,12.0,567.348024,74.22,A,pompe,0,False
81.35,9.51,51.89,3.67,14.16,7.0,36.0,9.0,609.78234,79.18,A,pompe,0,False
54.81,17.2,17.49,4.73,18.11,23.0,271.0,8.0,21.656962,40.15,C,pompe,1,False
48.13,2.28,73.8,7.63,20.82,10.0,699.0,16.0,351.865279,51.8,A,convoyeur,0,False
35.2,4.84,90.4,1.24,20.25,18.0,484.0,4.0,215.325266,43.44,B,convoyeur,0,False
38.15,9.0,29.16,3.84,1.29,15.0,693.0,16.0,619.921861,16.47,A,compresseur,0,False
69.93,2.19,19.9,3.69,19.68,9.0,618.0,15.0,489.740369,38.77,A,convoyeur,0,False
48.81,8.67,37.98,9.33,3.69,10.0,30.0,2.0,204.559329,88.68,C,pompe,0,False
54.25,12.98,55.02,8.65,7.74,8.0,616.0,13.0,202.052178,17.59,C,convoyeur,0,False
83.35,15.64,10.38,4.08,7.65,14.0,256.0,14.0,298.321326,81.36,C,convoyeur,1,False
45.89,1.99,86.62,1.36,4.01,21.0,175.0,2.0,93.955599,85.22,B,convoyeur,0,False
311.48,8.82,14.22,8.33,6.24,8.0,57.0,6.0,219.148219,39.95,A,convoyeur,0,True
63.96,5.17,45.07,1.66,4.08,2.0,494.0,8.0,92.767674,47.53,B,compresseur,0,False
92.44,5.38,11.0,7.65,12.42,21.0,315.0,15.0,373.149965,74.03,C,convoyeur,1,False
72.19,1.03,53.71,1.54,21.78,6.0,172.0,11.0,412.957348,25.93,B,convoyeur,0,False
62.95,9.85,63.64,1.29,18.16,4.0,574.0,9.0,136.324646,24.47,A,pompe,0,False
59.71,10.45,72.65,4.07,13.93,2.0,131.0,11.0,168.835763,17.03,A,convoyeur,1,False
35.34,2.6,59.55,7.99,11.15,8.0,79.0,13.0,421.371609,76.09,C,convoyeur,0,False
70.74,9.85,42.58,8.67,1.28,12.0,17.0,14.0,67.205967,68.18,A,convoyeur,1,False
73.12,11.11,41.05,1.51,18.31,24.0,14.0,17.0,494.592353,59.86,C,convoyeur,0,False
70.24,3.1,28.02,9.5,9.99,0.0,220.0,9.0,573.611412,98.95,A,compresseur,0,False
43.44,7.26,88.63,7.48,15.06,10.0,348.0,13.0,328.851183,65.63,C,compresseur,1,False
75.88,13.29,38.94,6.16,5.15,6.0,637.0,2.0,412.765208,77.91,B,compresseur,0,False
81.48,10.64,57.53,9.2,6.42,2.0,398.0,12.0,551.894893,39.48,C,pompe,0,False
73.19,6.31,29.46,4.31,16.91,13.0,184.0,15.0,505.171584,51.15,B,pompe,0,False
88.88,15.0,76.37,1.68,16.22,3.0,179.0,4.0,770.614618,40.52,C,convoyeur,1,False
50.57,0.85,61.26,9.39,9.26,7.0,431.0,3.0,417.660345,70.53,A,compresseur,0,False
88.19,2.5,29.37,7.19,19.01,8.0,627.0,12.0,795.794023,36.88,B,compresseur,0,False
89.2,14.89,89.03,6.85,17.61,23.0,123.0,0.0,299.084661,50.99,A,convoyeur,1,False
92.23,1.53,10.67,3.57,7.55,16.0,282.0,5.0,98.212884,13.79,B,pompe,0,False
62.11,14.05,21.37,9.31,5.54,1.0,653.0,2.0,88.528905,29.54,C,pompe,0,False
73.65,4.95,35.89,5.86,7.21,16.0,150.0,1.0,625.121705,52.53,C,compresseur,0,False
78.64,0.76,60.93,1.67,21.46,10.0,545.0,3.0,175.663514,22.42,C,compresseur,0,False
35.78,0.22,76.73,8.19,8.78,18.0,619.0,1.0,452.281284,50.19,B,pompe,0,False
61.44,6.81,39.41,2.79,15.64,9.0,485.0,12.0,675.073226,90.18,B,compresseur,0,False
48.12,14.9,77.37,3.66,10.52,2.0,683.0,8.0,443.011996,86.41,B,convoyeur,0,False
51.55,14.02,48.02,4.72,4.19,22.0,115.0,17.0,451.114534,23.68,C,pompe,0,False
71.38,9.6,43.16,8.2,7.65,13.0,309.0,13.0,803.611224,98.54,C,convoyeur,0,False
92.52,16.99,19.97,4.12,12.46,4.0,176.0,16.0,249.814048,32.12,A,convoyeur,0,False
64.87,13.91,88.78,3.97,10.37,19.0,641.0,12.0,628.947612,55.26,B,convoyeur,0,False
