temperature_c,vibration,humidite_pct,pression_bar,heures_utilisation_jour,nb_alertes_7j,derniere_maintenance_jours,nb_interventions_12m,consommation_kwh_j,indice_usure,site,equipement_type,panne_30j
58.77,12.02,80.93,5.94,5.51,11,236,3,593.102766,55.86,A,pompe,0
41.02,16.66,73.44,3.75,11.46,11,710,18,361.858076,57.26,B,pompe,0
73.41,3.29,50.43,5.95,8.2,19,120,15,72.561236,38.84,A,convoyeur,0
80.5,9.77,72.69,7.24,14.16,16,151,18,428.798732,14.1,A,pompe,1
70.07,8.3,12.09,7.84,7.27,15,453,12,85.764085,96.05,B,NA,0
"92,81",12.13,13.84,5.08,19.19,22,284,17,589.740627,14.5,B,compresseur,0
44.77,12.99,64.51,7.4,5.82,1,223,3,267.279397,43.62,B,convoyeur,0
66.37,5.75,50.73,4.43,13.24,14,325,13,212.42075,81.2,A,pompe,0
38.02,12.17,47.02,7.8,2.5,23,496,15,319.541051,70.18,A,pompe,0
75.27,11.57,68.97,8.95,18.1,22,543,0,513.708218,13.78,B,convoyeur,0
88.8,16.54,84.57,9.12,19.8,24,507,9,499.99706,29.51,B,convoyeur,1
79.59,9.64,52.04,5.08,7.73,14,13,9,628.975076,63.63,A,pompe,0
86.17,4.86,77.67,7.39,8.21,4,361,4,775.196483,2.93,B,pompe,0
44.04,4.37,11.44,2.41,17.12,17,707,16,142.141542,86.69,B,convoyeur,0
84.63,7.94,13.51,4.59,21.07,15,338,17,858.097145,24.3,B,compresseur,0
87.46,10.84,54.3,8.65,12.25,10,562,2,507.247034,68.16,C,compresseur,0
57.04,10.88,68.47,3.99,12.96,14,16,13,825.547329,65.46,C,compresseur,0
47.15,17.21,NA,1.24,2.44,7,186,12,767.438812,24.05,A,convoyeur,0
53.41,14.74,32.19,5.96,4.75,20,565,16,626.201109,38.86,C,convoyeur,0
43.46,15.74,82.26,6.14,4.57,11,147,13,446.69948,78.88,A,pompe,1
73.1,7.59,17.7,5.03,16.41,2,444,1,0,16.86,B,convoyeur,0
52.57,12.39,15.16,7.98,9.01,11,431,7,126.070581,27.08,B,pompe,0
84.45,11.38,59.94,7.14,11.91,5,357,17,105.076329,76.42,C,compresseur,0
62.7,4.97,42.6,5.77,10.01,3,6,13,728.489965,27.52,A,pompe,0
55.79,5.59,88.45,6.59,20.15,6,480,6,194.108233,73.47,C,pompe,0
57.84,18.38,11.06,5.92,16.92,23,448,8,90.16025,14.83,C,compresseur,1
69.9,1.26,42.67,1.48,16.31,17,513,18,128.037711,87.0,C,pompe,0
69.81,11.34,36.34,2.88,12.43,5,75,13,292.19657,50.04,B,convoyeur,0
41.93,17.86,77.27,7.01,2.87,11,196,17,441.340953,98.28,C,compresseur,1
90.58,8.54,68.55,2.69,21.73,4,193,15,628.625494,21.64,A,compresseur,0
90.28,10.23,91.5,3.51,13.78,14,665,17,607.327125,65.03,B,convoyeur,0
89.27,2.26,54.87,3.14,15.42,15,616,15,534.49913,37.06,C,convoyeur,0
50.4,5.2,51.91,3.37,15.1,21,417,10,827.743269,45.88,B,compresseur,0
60.29,4.11,90.89,9.43,10.0,19,648,13,97.324225,87.8,A,convoyeur,0
91.5,13.26,55.4,4.42,17.47,3,670,16,189.010083,26.33,C,pompe,1
75.49,5.74,16.31,2.49,3.91,19,612,10,493.272016,75.69,B,pompe,0
87.0,16.88,52.53,1.52,16.94,22,317,0,24.013832,92.91,C,convoyeur,0
69.64,5.17,54.63,2.58,12.31,14,346,7,192.390651,59.37,A,pompe,0
83.19,10.09,22.34,7.76,14.93,11,470,7,557.345465,99.48,,compresseur,0
91.47,0.3,39.42,5.89,1.48,20,401,18,419.267299,2.64,A,pompe,0
70.45,16.91,77.28,9.45,1.31,3,355,2,35.380255,77.97,A,convoyeur,1
48.34,3.36,14.1,3.62,8.52,21,650,14,359.954364,89.58,,convoyeur,0
56.46,4.56,29.26,7.39,4.88,10,511,2,581.218567,18.1,B,convoyeur,0
66.45,8.14,38.64,4.01,17.36,17,683,4,299.054629,41.1,C,convoyeur,0
79.65,16.6,13.99,5.07,18.34,24,31,8,160.364827,35.67,A,pompe,0
80.64,8.68,12.83,1.99,8.9,11,91,9,461.922696,"2,85",B,compresseur,0
40.45,17.52,25.83,6.93,20.64,10,84,15,84.132454,31.96,C,convoyeur,0
60.35,11.18,23.07,1.99,3.36,7,209,0,419.485265,94.73,A,convoyeur,1
84.49,4.9,24.24,7.49,16.34,7,182,13,682.351976,80.04,A,pompe,0
87.04,15.29,71.87,2.1,2.02,10,33,13,491.487159,63.57,C,compresseur,1
43.58,13.03,79.39,6.14,4.22,13,177,18,718.384315,92.53,A,convoyeur,0
90.73,5.46,88.77,6.92,1.7,10,336,7,456.743138,87.17,B,compresseur,0
36.91,7.77,37.65,8.08,12.0,4,100,4,278.12663,81.38,C,compresseur,0
60.12,1.9,81.77,6.4,7.16,13,557,12,803.247008,7.26,B,compresseur,0
67.66,9.79,83.04,6.39,10.09,22,130,16,157.622848,31.6,B,pompe,0
50.22,18.33,28.73,3.07,21.58,13,35,17,462.64921,12.6,A,pompe,1
85.85,11.07,54.67,7.45,10.74,10,186,0,0,85.15,B,compresseur,0
70.95,13.88,20.28,3.76,11.43,2,313,18,753.317648,38.64,C,pompe,0
91.75,13.9,26.0,8.12,13.22,11,378,8,521.122759,30.8,B,pompe,1
68.93,16.19,88.22,6.02,9.79,6,566,11,488.238552,93.34,A,pompe,1
80.52,18.44,42.99,8.49,5.51,23,339,3,690.937844,42.68,B,convoyeur,1
92.19,6.47,57.55,6.01,21.38,8,49,2,405.586515,55.56,C,convoyeur,1
48.58,1.8,67.75,5.24,13.59,25,176,5,154.642931,82.41,C,compresseur,0
239.23,14.49,41.78,7.9,11.34,14,183,12,798.800126,78.53,B,pompe,1
36.23,14.72,34.38,4.25,15.11,7,560,3,457.117303,7.1,C,pompe,0
92.53,16.69,70.91,4.47,14.08,23,252,9,205.836027,25.93,C,pompe,1
39.32,1.07,32.26,8.85,19.13,5,156,7,564.030244,14.91,B,convoyeur,0
91.95,6.9,29.55,4.34,5.28,18,119,18,466.251846,35.04,B,pompe,0
75.5,12.18,12.52,3.56,4.62,9,81,16,1352.253172,99.61,B,compresseur,0
71.84,6.61,74.51,8.7,11.63,14,547,9,34.363239,77.44,A,pompe,0
75.0,15.18,87.89,7.5,16.06,18,649,5,748.730039,17.56,C,pompe,0
52.15,11.41,22.46,1.7,11.42,4,609,0,345.738461,31.1,B,convoyeur,0
62.79,16.18,85.89,9.17,17.82,18,81,4,524.569658,74.55,C,compresseur,0
76.18,7.31,23.06,2.99,11.75,24,61,13,295.902285,11.46,A,compresseur,0
42.38,4.63,71.14,0.86,20.45,16,371,9,454.456604,7.41,A,pompe,1
45.88,12.1,38.55,3.93,1.94,15,316,18,515.300256,9.09,C,convoyeur,0
66.41,11.1,49.22,7.57,5.94,13,728,16,282.7983,25.59,B,convoyeur,0
48.31,1.5,64.1,7.33,7.0,17,390,14,412.470731,52.16,C,pompe,0
66.19,1.85,23.56,8.67,20.17,14,673,12,599.116909,50.58,C,compresseur,0
77.59,4.48,47.27,1.88,3.46,3,109,1,251.239437,9.41,C,convoyeur,0
77.9,12.32,15.38,5.64,9.33,13,694,6,420.043359,13.9,C,convoyeur,0
53.0,7.57,33.7,2.15,11.09,3,590,17,395.321673,16.26,A,pompe,0
,15.21,48.04,3.88,2.72,23,445,12,211.488454,3.08,A,convoyeur,0
73.09,7.63,58.42,6.4,5.03,24,184,11,720.525127,89.62,B,convoyeur,0
41.53,10.59,85.68,4.99,14.97,17,560,2,271.12633,13.37,C,pompe,0
43.07,8.14,86.29,3.23,8.92,12,499,13,327.698388,40.59,B,compresseur,1
74.31,4.27,27.08,8.74,2.73,2,455,11,132.219064,13.55,B,convoyeur,0
59.73,13.21,43.15,3.16,7.78,18,134,15,238.063481,4.28,A,convoyeur,0
80.11,9.8,73.89,"5,56",16.59,4,46,5,371.399746,9.54,A,convoyeur,0
,16.97,55.07,4.93,19.33,0,699,3,108.619685,35.48,A,compresseur,0
42.41,9.89,76.34,7.91,16.39,5,691,13,508.112392,77.2,A,convoyeur,0
42.08,14.94,14.36,2.23,16.58,19,121,16,411.192414,69.15,B,convoyeur,0
65.49,0.35,70.79,1.35,21.04,3,180,15,813.397678,53.2,B,pompe,0
60.61,10.84,34.11,0.93,8.1,22,257,15,431.031997,15.59,C,convoyeur,0
47.79,12.21,19.41,6.68,15.13,25,600,18,564.83918,75.21,B,compresseur,0
93.25,9.98,67.34,6.37,11.27,17,NA,1,802.401356,34.84,C,compresseur,1
67.48,2.01,21.32,3.69,0.93,7,31,3,191.731631,93.66,C,pompe,0
68.93,14.43,82.57,9.25,2.32,1,93,12,777.695855,96.77,A,compresseur,1
47.33,14.21,16.7,0.9,12.66,3,98,10,678.046475,68.3,A,convoyeur,1
80.55,3.53,63.43,9.16,14.01,25,730,12,483.991597,75.69,C,convoyeur,0
64.09,4.51,34.14,9.09,3.48,10,431,2,595.24926,57.52,A,pompe,0
66.85,9.52,74.37,8.54,9.66,5,263,13,712.402039,74.45,A,convoyeur,0
40.23,11.08,48.95,4.52,7.47,10,559,8,611.157651,11.41,A,convoyeur,0
35.68,17.23,48.09,1.15,2.3,9,551,12,814.404502,45.41,B,convoyeur,1
68.86,6.99,47.99,4.93,7.98,16,559,16,87.195364,46.0,C,convoyeur,0
68.82,16.86,10.92,8.68,15.95,12,158,9,329.12301,72.93,B,pompe,1
58.02,0.85,48.56,7.38,21.54,1,285,9,54.952638,54.09,C,compresseur,0
40.99,4.59,81.62,2.41,0.93,23,392,5,683.690074,18.68,B,convoyeur,0
94.1,7.64,31.15,3.49,11.57,0,,17,453.144019,66.67,B,pompe,0
47.16,9.43,19.7,4.09,20.49,1,664,8,0,46.8,B,convoyeur,0
66.32,7.45,80.18,6.49,13.21,0,513,0,561.4306,30.19,C,compresseur,0
67.42,3.5,40.54,5.85,5.24,16,349,8,223.244474,98.14,,compresseur,0
40.8,16.86,18.8,1.69,1.12,20,347,11,389.335817,42.01,B,pompe,0
35.37,10.25,43.66,3.03,12.92,14,670,3,534.577972,82.49,C,compresseur,1
38.85,9.9,62.85,9.12,2.48,16,26,6,776.900545,32.65,A,convoyeur,0
90.15,18.3,78.9,9.14,13.43,16,130,3,689.754225,85.09,A,pompe,1
56.49,17.4,12.02,7.65,18.61,25,131,13,576.997585,99.68,B,convoyeur,0
85.97,3.06,13.2,,5.29,4,314,5,355.128591,37.58,C,pompe,0
60.62,3.81,23.71,2.47,8.3,9,612,13,598.817054,80.13,B,pompe,0
45.13,17.2,77.5,2.7,6.85,9,729,10,629.093701,33.81,C,compresseur,0
68.69,2.71,54.6,3.14,19.8,25,677,14,145.796731,"44,46",A,pompe,0
46.36,7.98,,3.57,11.81,10,648,9,523.609023,2.68,A,compresseur,0
41.22,1.7,27.63,9.35,19.29,24,713,14,11.631025,89.42,C,compresseur,0
43.27,6.82,73.03,5.67,14.93,5,351,14,323.934479,14.95,C,compresseur,0
51.01,3.74,50.1,5.31,1.78,3,434,1,625.479052,5.63,A,convoyeur,0
55.34,7.63,38.44,7.64,11.69,10,535,3,647.487643,97.84,B,pompe,0
74.99,17.6,20.09,5.51,10.32,14,218,13,526.68384,34.67,B,pompe,1
92.42,4.45,32.3,6.96,3.83,24,75,17,1041.260831,30.73,C,convoyeur,0
78.28,16.4,39.41,1.78,9.49,,720,4,254.075548,75.05,C,convoyeur,0
43.81,15.49,49.41,6.25,17.09,9,289,15,91.418936,11.06,B,pompe,0
35.3,5.25,38.57,6.12,10.2,6,96,4,117.398784,98.81,B,pompe,1
72.02,15.87,28.59,8.01,17.35,8,446,15,680.072787,66.7,A,convoyeur,1
72.3,13.73,41.97,7.03,18.17,18,730,14,764.809848,25.14,C,compresseur,0
37.51,1.21,58.7,8.06,0.95,25,198,4,257.873833,86.18,C,compresseur,0
50.32,4.9,75.72,1.65,16.1,13,652,4,100.295471,82.29,B,convoyeur,0
71.72,10.51,57.88,7.75,15.09,2,389,0,3.486658,65.61,B,convoyeur,0
90.1,7.68,32.06,6.16,4.26,9,57,5,81.352896,92.59,B,compresseur,1
52.52,16.83,32.74,7.91,5.16,17,45,6,563.366901,90.34,C,pompe,0
75.59,11.48,65.43,9.34,14.17,17,186,13,83.377967,5.43,B,pompe,1
45.11,5.18,14.6,1.78,10.34,11,60,12,801.956889,44.46,B,pompe,0
80.27,12.0,31.2,5.52,10.49,15,382,18,0,34.63,A,pompe,0
74.0,16.63,82.91,4.44,21.62,0,186,14,21.329373,26.45,C,pompe,1
47.35,12.8,62.18,8.2,21.37,23,649,12,567.348024,74.22,A,pompe,0
81.35,,51.89,3.67,14.16,7,36,9,609.78234,79.18,A,pompe,0
54.81,17.2,17.49,4.73,18.11,23,271,8,21.656962,40.15,C,pompe,1
48.13,2.28,73.8,7.63,20.82,10,699,16,351.865279,,A,convoyeur,0
35.2,4.84,90.4,1.24,20.25,18,484,4,215.325266,43.44,B,convoyeur,0
38.15,9.0,29.16,3.84,1.29,15,693,16,619.921861,16.47,A,compresseur,0
69.93,2.19,19.9,3.69,19.68,9,618,15,489.740369,38.77,A,convoyeur,0
48.81,8.67,37.98,9.33,3.69,10,30,2,204.559329,88.68,C,pompe,0
54.25,12.98,55.02,8.65,7.74,8,616,13,202.052178,17.59,C,convoyeur,0
83.35,15.64,10.38,4.08,7.65,14,256,14,298.321326,81.36,C,convoyeur,1
45.89,1.99,86.62,1.36,4.01,21,175,2,93.955599,85.22,B,convoyeur,0
311.48,8.82,14.22,8.33,6.24,8,57,6,219.148219,39.95,A,convoyeur,0
63.96,5.17,45.07,1.66,4.08,2,494,8,92.767674,47.53,B,compresseur,0
92.44,5.38,11.0,7.65,12.42,21,315,15,373.149965,74.03,C,convoyeur,1
72.19,1.03,53.71,1.54,21.78,6,172,11,412.957348,25.93,B,convoyeur,0
62.95,9.85,63.64,1.29,18.16,4,574,9,136.324646,24.47,A,pompe,0
59.71,10.45,72.65,4.07,13.93,2,131,11,168.835763,17.03,A,,1
35.34,2.6,59.55,7.99,11.15,8,79,13,421.371609,76.09,C,convoyeur,0
70.74,9.85,42.58,8.67,1.28,12,17,14,67.205967,68.18,A,convoyeur,1
73.12,11.11,41.05,1.51,18.31,24,14,17,494.592353,59.86,C,convoyeur,0
70.24,3.1,28.02,9.5,9.99,0,220,9,573.611412,98.95,A,compresseur,0
43.44,7.26,88.63,7.48,15.06,10,348,13,328.851183,65.63,C,compresseur,1
75.88,13.29,"38,94",6.16,5.15,6,637,2,412.765208,77.91,B,compresseur,0
81.48,10.64,57.53,9.2,6.42,2,398,12,551.894893,39.48,C,pompe,0
73.19,6.31,29.46,4.31,16.91,13,184,15,505.171584,51.15,B,pompe,0
88.88,15.0,76.37,1.68,16.22,3,179,4,770.614618,40.52,C,convoyeur,1
50.57,0.85,61.26,9.39,9.26,7,431,3,417.660345,70.53,A,compresseur,0
88.19,2.5,29.37,7.19,19.01,8,627,12,795.794023,36.88,B,compresseur,0
89.2,14.89,89.03,6.85,17.61,23,123,0,299.084661,50.99,A,convoyeur,1
92.23,1.53,10.67,3.57,7.55,16,282,5,98.212884,13.79,B,pompe,0
62.11,14.05,21.37,9.31,5.54,1,653,2,88.528905,29.54,C,pompe,0
73.65,4.95,35.89,5.86,7.21,16,150,1,625.121705,52.53,C,compresseur,0
78.64,0.76,60.93,1.67,21.46,10,545,3,175.663514,22.42,C,compresseur,0
35.78,0.22,76.73,8.19,8.78,18,619,1,452.281284,"50,19",B,pompe,0
61.44,6.81,39.41,2.79,15.64,9,485,12,675.073226,90.18,B,compresseur,0
48.12,14.9,77.37,3.66,10.52,2,683,8,443.011996,86.41,B,convoyeur,0
51.55,14.02,48.02,4.72,4.19,22,115,17,451.114534,23.68,C,pompe,0
71.38,9.6,43.16,8.2,7.65,13,309,13,803.611224,98.54,C,convoyeur,0
92.52,16.99,19.97,4.12,12.46,4,176,16,249.814048,32.12,A,convoyeur,0
64.87,13.91,88.78,3.97,10.37,19,641,12,628.947612,55.26,B,convoyeur,0
70.89,9.21,65.92,8.09,20.86,21,705,5,728.666155,26.68,B,pompe,0
88.22,5.24,68.04,4.97,14.63,0,192,14,809.061809,75.36,C,pompe,0
81.54,12.28,59.29,5.21,6.11,9,367,18,270.618375,51.23,A,compresseur,0
58.65,4.18,88.42,2.81,15.01,22,374,7,537.24413,16.32,C,compresseur,0
83.28,8.81,56.77,7.55,7.9,10,3,5,216.487371,9.75,A,,1
53.83,18.49,80.23,4.34,20.34,3,693,13,537.954678,79.98,C,convoyeur,0
84.96,15.64,22.42,9.1,21.82,22,3218.95,4,330.366785,84.42,C,compresseur,0
84.13,12.37,69.21,7.96,14.16,14,137,14,599.675565,13.87,C,convoyeur,0
94.11,10.95,78.25,9.22,4.51,18,449,15,750.552222,66.25,C,compresseur,1
68.43,17.49,89.98,8.1,17.2,18,290,6,58.745075,66.82,B,convoyeur,1
56.68,12.11,87.49,7.03,9.84,4,292,16,868.666054,98.51,C,convoyeur,0
72.81,2.67,36.21,1.04,17.16,21,476,8,619.387335,47.6,B,pompe,0
35.54,6.6,56.41,5.05,9.71,22,330,17,816.533276,50.39,C,convoyeur,0
53.36,12.47,84.54,4.68,18.3,7,103,10,394.831104,9.38,A,compresseur,1
69.72,2.4,53.76,4.52,13.72,20,581,17,44.206505,88.18,C,pompe,0
61.96,2.58,21.58,7.31,17.32,12,443,4,454.113813,63.86,C,convoyeur,0
76.96,15.01,22.2,5.71,5.14,24,75,9,574.215621,63.28,B,compresseur,1
89.34,0.38,79.56,1.14,15.48,19,689,14,350.57828,28.6,B,compresseur,0
55.77,8.24,40.97,6.95,9.93,11,321,9,343.764228,19.58,C,convoyeur,0
64.89,12.03,65.4,9.25,12.23,16,398,8,256.31896,18.49,B,compresseur,0
84.05,3.37,44.1,6.49,0.67,4,478,1,236.804552,35.38,A,convoyeur,0
78.68,17.8,43.1,7.27,13.98,8,107,18,129.684754,52.2,B,pompe,1
85.45,1.64,53.24,3.71,0.79,25,599,11,433.883354,13.12,C,pompe,0
82.46,5.07,20.83,4.89,19.95,12,436,5,468.221737,83.24,A,pompe,1
51.13,17.52,11.58,4.7,4.47,23,219,6,312.24473,89.91,C,convoyeur,1
65.04,14.49,80.06,8.23,3.86,11,25,16,367.626255,95.35,A,compresseur,0
66.75,12.9,67.44,3.86,9.81,17,268,9,679.11931,291.48,B,pompe,0
49.54,16.37,86.85,1.96,1.89,22,5,11,359.323597,67.7,C,pompe,1
86.77,0.42,45.53,2.16,9.8,16,20,18,102.08561,23.71,B,convoyeur,1
79.68,17.75,61.03,7.93,16.98,3,392,18,245.425314,76.92,B,convoyeur,0
67.35,1.19,86.71,4.93,13.45,0,212,15,711.896486,48.48,A,pompe,0
43.43,3.46,83.09,9.39,17.92,7,597,8,714.870774,87.77,C,convoyeur,0
72.1,15.31,29.18,2.94,15.16,15,336,9,534.2173,40.16,C,compresseur,0
76.19,14.07,88.36,7.99,17.2,6,470,18,92.228716,73.44,C,compresseur,0
85.65,11.76,48.32,8.34,21.25,16,231,14,886.337286,97.28,C,compresseur,0
94.7,12.51,,9.13,18.02,23,257,11,550.897996,32.7,C,convoyeur,0
73.8,1.09,12.39,5.51,5.32,0,161,7,534.771817,76.37,A,compresseur,0
66.3,13.94,14.33,1.86,1.53,18,708,13,773.543704,95.6,A,convoyeur,0
40.02,,15.5,8.36,20.86,11,NA,17,683.255373,24.73,B,compresseur,1
57.68,13.09,79.03,8.99,4.18,11,335,12,49.107443,1.61,A,compresseur,0
82.82,7.42,26.21,3.88,17.87,2,502,14,478.290419,47.13,B,compresseur,0
78.94,13.27,46.02,4.79,NA,2,567,16,899.411233,94.41,A,convoyeur,0
81.72,15.38,44.43,4.72,4.01,10,322,18,743.699181,46.61,B,compresseur,0
84.36,3.85,65.58,5.1,8.34,20,78,8,641.22095,12.14,B,pompe,0
54.43,14.18,13.6,2.42,20.68,11,434,15,222.129538,85.94,A,compresseur,1
40.45,13.42,70.02,7.6,11.55,7,5,10,453.191498,47.54,B,compresseur,0
69.03,1.32,47.47,6.18,13.5,25,208,3,408.892255,40.04,C,convoyeur,0
65.31,12.05,84.86,3.03,1.14,1,45,5,51.145967,82.69,A,compresseur,0
43.22,8.97,83.04,7.42,1.48,19,188,10,287.183629,4.12,B,compresseur,0
